ECG1,ECG2,ECG3
0.00042381955,-1.47252085e-05,0.00033089163
0.00042504026,-1.4267445e-05,0.00033134938
3.7460806e-05,-1.2741566e-05,2.0676138e-05
-0.000347219,-1.1368275e-05,-0.0002025633
-0.00012443734,-2.0828726e-05,0.00022606278
0.0005446711,-1.9150259e-05,0.0011078811
0.00065560394,-1.6251088e-05,0.0016289769
0.00027534916,-1.4114858e-05,0.0016417943
-0.0001586175,-1.8845083e-05,0.0016189056
-0.0001273365,-2.1439077e-05,0.0016420995
0.00038887598,-1.1978626e-05,0.0016420995
0.00038185692,-1.2588978e-05,0.0016420995
-0.00015831232,-1.1063099e-05,0.00052544405
-0.00069497206,-1.4877797e-05,-0.00079293543
-0.0007122145,-1.9150259e-05,-0.0010553905
-8.4305764e-05,-2.2049428e-05,-0.00035896827
0.00020164777,-1.8692494e-05,-7.247925e-06
-2.9831412e-05,-1.1368275e-05,-0.00017540265
-0.00040032007,-1.3504506e-05,-0.0004845505
-0.0004221411,-1.9608022e-05,-0.0004512854
0.00018730451,-2.3880482e-05,0.00020225812
0.00050041964,-1.8692494e-05,0.00051949313
0.00020149518,-1.1673451e-05,0.00022880937
-0.00025276566,-1.3046742e-05,-0.00023949052
-0.0004084077,-1.9455434e-05,-0.0003975735
0.0001287098,-2.0218373e-05,0.000112077716
0.0005075913,-2.0218373e-05,0.0004908066
0.00024940874,-1.8387318e-05,0.0002372017
-0.00019798566,-1.6556263e-05,-0.00019798566
-0.0004187837,-1.6708851e-05,-0.00042046263
6.1722756e-05,-2.0828726e-05,5.0278188e-05
0.0005082016,-2.0676138e-05,0.0004901962
0.00030556205,-1.9913197e-05,0.00029991628
-0.00014183235,-1.3504506e-05,-0.0001400013
-0.00042671873,-1.899767e-05,-0.000417563
-1.2894154e-05,-2.4490835e-05,-1.6708851e-05
0.0004943161,-2.1286489e-05,0.0004824138
0.0003473716,-1.7166616e-05,0.00034554055
-9.0562346e-05,-1.6708851e-05,-8.110142e-05
-0.00042229367,-1.7166616e-05,-0.000404593
-8.4305764e-05,-2.2812368e-05,-7.606602e-05
0.00047325852,-2.4948598e-05,0.0004734111
0.00039269068,-1.1215688e-05,0.00040215114
-3.0746938e-05,-1.60985e-05,-8.926392e-06
-0.0004035249,-1.8387318e-05,-0.0003710232
-0.00015159846,-2.3270131e-05,-0.00012687875
0.0004422827,-2.5406362e-05,0.00045906784
0.0004349585,-1.899767e-05,0.00046105147
2.9831412e-05,-1.5335561e-05,6.9046975e-05
-0.00037010768,-1.7929555e-05,-0.00032082084
-0.00021538115,-2.2507193e-05,-0.00017006208
0.00040016748,-2.3270131e-05,0.00043373776
0.00047158005,-1.7166616e-05,0.00051567843
7.9422956e-05,-1.0910511e-05,0.00013771297
-0.00034172586,-1.4420033e-05,-0.00026985598
-0.00027260257,-2.1439077e-05,-0.00019920636
0.00034508278,-2.693224e-05,0.0004073391
0.0005002671,-1.0452748e-05,0.0005733581
0.00013862849,-1.030016e-05,0.00022682572
-0.00029808475,-1.899767e-05,-0.00019142438
-0.00031075,-1.899767e-05,-0.00019813825
0.00029091313,-2.5101186e-05,0.0003974209
0.0005318537,-1.8539906e-05,0.0006516366
0.00020317365,-1.0605336e-05,0.00034294656
-0.00024315262,-1.5335561e-05,-8.1711776e-05
-0.00033791116,-1.9150259e-05,-0.00016288996
0.00023201371,-2.1591664e-05,0.0004035244
0.000553216,-2.0065785e-05,0.00074120716
0.00026115848,-1.4114858e-05,0.00047798874
-0.00019035627,-1.319933e-05,5.668688e-05
-0.00035698464,-1.2131215e-05,-8.918906e-05
0.0001712823,-2.5864125e-05,0.00044411374
0.000567102,-2.0523548e-05,0.0008580914
0.00032280447,-1.6556263e-05,0.0006453805
-0.00012031746,-2.0065785e-05,0.00023247147
-0.0003598838,-1.7014028e-05,1.777649e-05
0.000105211264,-2.4338247e-05,0.00048592332
0.00057595206,-1.762438e-05,0.0009682613
0.000383688,-1.8692494e-05,0.00080468465
-5.6077006e-05,-1.6251088e-05,0.00038689232
-0.00035316995,-1.6251088e-05,0.00010688973
3.6697867e-05,-2.6016713e-05,0.0004937058
0.00055779365,-2.403307e-05,0.0010180054
0.00042320922,-1.8692494e-05,0.00090005354
-1.5945912e-05,-1.5793325e-05,0.00047386886
-0.0003633938,-1.319933e-05,0.00013450814
-5.5924418e-05,-1.7166616e-05,0.00043022825
0.0005060654,-2.4643423e-05,0.00097528036
0.0004348059,-1.9455434e-05,0.00089868024
8.010865e-06,-2.1744252e-05,0.00046044114
-0.00037392238,-2.0981313e-05,6.0502054e-05
-0.00015846491,-2.3117544e-05,0.00023811722
0.00043556883,-1.8692494e-05,0.000786984
0.00044548704,-1.24363905e-05,0.00077019935
3.349352e-05,-1.5182973e-05,0.00033195975
-0.0003847561,-1.5793325e-05,-0.0001136036
-0.00025322344,-2.0981313e-05,-2.2202015e-05
0.00035774757,-2.7847767e-05,0.00054039864
0.00044777585,-2.1744252e-05,0.0006057072
6.0654642e-05,-1.5488149e-05,0.0001987486
-0.00037041283,-1.9150259e-05,-0.00024818804
-0.00032784033,-2.0218373e-05,-0.00023140336
0.00028068974,-2.7542592e-05,0.000339437
0.00045418504,-1.7471792e-05,0.00050118257
9.0104106e-05,-1.5945912e-05,0.0001313038
-0.00035011818,-1.5030385e-05,-0.00031059745
-0.00038902857,-1.3809681e-05,-0.00036018898
0.00020561506,-1.7471792e-05,0.0002114134
0.00046242477,-1.3809681e-05,0.00046456102
0.00013786554,-8.926392e-06,0.00014457942
-0.0003122759,-1.030016e-05,-0.00030022097
-0.00042900754,-1.5488149e-05,-0.0004186311
0.00013466073,-1.6861439e-05,0.00012718391
0.00047631026,-2.3270131e-05,0.00046547654
0.00019295026,-1.3809681e-05,0.00019127179
-0.00026024246,-1.7471792e-05,-0.00025200273
-0.00044548704,-2.0065785e-05,-0.000435874
6.691075e-05,-1.8692494e-05,6.187535e-05
0.00048287155,-1.5488149e-05,0.00047463182
0.00024757767,-9.384155e-06,0.00024773026
-0.0001999693,-1.396227e-05,-0.00018715192
-0.00045067503,-9.842396e-06,-0.00043572142
-8.163453e-06,-1.1368275e-05,-5.4168704e-06
0.00047203782,-1.396227e-05,0.000469749
0.00029793265,-1.1063099e-05,0.0003057146
-0.00014717341,-1.2131215e-05,-0.00013084603
-0.00045586302,-1.3657093e-05,-0.00043526365
